1 1:1 2:-34.0312 3:3.31026 4:0.392838 5:1.13348 6:0.462264 7:0.313878 8:0.584252 9:0.468398 10:0.468398 11:42.1216 12:54.3929 13:0.166667 14:0.966701 15:0.953235 16:11.9877 17:1 18:-34.0312 19:1 20:-34.0312
1 1:0 2:4.5 3:2.08246 4:0.31071 5:0.24333 6:0.0900498 7:0.12314 8:0.232824 9:0.0805265 10:0.0650671 11:18.3181 12:74.9776 13:0.333333 14:0.997715 15:0.990434 16:5.30985 17:0 18:4.5 19:-1 20:-104.781
1 1:-1 2:-57.875 3:1.89446 4:0.573404 5:0.317783 6:0.303724 7:0.106971 8:0.262881 9:0.230389 10:0.230389 11:28.4654 12:85.7834 13:0.166667 14:0.943842 15:0.912152 16:8.20154 17:-3 18:-67.5833 19:-3 20:-67.5833
1 1:0 2:0 3:1.75249 4:0.121321 5:0.692186 6:0.271132 7:0.184398 8:0.159837 9:0.378029 10:0.0957225 11:16.577 12:58.6391 13:0.333333 14:0.930693 15:0.950853 16:4.80887 17:0 18:0 19:1 20:131.5
1 1:0 2:0 3:1.92172 4:1.0846 5:0.446099 6:0.639369 7:0.217272 8:0.214328 9:0.263693 10:0.263693 11:28.5446 12:77.0661 13:0.444444 14:0.86641 15:0.887586 16:8.2239 17:2 18:66.8438 19:2 20:66.8438
1 1:0 2:0 3:1.38896 4:0.18169 5:0.264778 6:0.815172 7:0.109044 8:0.287821 9:0.174718 10:0.12724 11:15.9483 12:77.799 13:0.444444 14:0.932669 15:0.915088 16:4.6277 17:-1 18:-86.6875 19:-1 20:-86.6875
1 1:2 2:8.21875 3:4.19634 4:0.880728 5:0.475539 6:0.190582 7:0.136915 8:0.195235 9:0.21962 10:0.127875 11:25.4071 12:75.2687 13:0.444444 14:0.962579 15:0.986173 16:7.33575 17:3 18:36.9583 19:3 20:36.9583
1 1:0 2:0 3:1.87938 4:0.481546 5:0.721061 6:0.33648 7:0.112996 8:0.196628 9:0.169207 10:0.147967 11:22.2631 12:68.2956 13:0.444444 14:0.8765 15:0.938482 16:6.44028 17:0 18:0 19:2 20:184.25
1 1:-1 2:-47.8125 3:1.5235 4:0.318309 5:0.681031 6:0.564408 7:0.25048 8:0.730663 9:1.04533 10:1.24668 11:68.0278 12:51.1145 13:0.333333 14:0.793363 15:0.70836 16:18.6605 17:-1 18:-47.8125 19:0 20:129.25
1 1:2 2:20.9688 3:4.47698 4:0.562665 5:0.233979 6:0.536533 7:0.402055 8:0.351656 9:0.454322 10:0.316839 11:38.3152 12:53.6737 13:0.333333 14:0.953 15:0.995737 16:10.9472 17:2 18:20.9688 19:5 20:95.5375
-1 1:0 2:-13.875 3:2.15309 4:0.512149 5:1.52503 6:0.432613 7:1.48503 8:1.36399 9:1.04485 10:2.43146 11:69.4407 12:42.5072 13:1 14:0.849798 15:0.856847 16:19.0001 17:0 18:-13.875 19:-3 20:-101.875
